Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Victim Category,Sources_1,Sources_2,Sources_3,Who_attributed,APT_Family
Cyber espionage by the United Arab Emirates (UAE),1/30/2019,Believed to be the work of the UAE government.,"Former U.S. government intelligence operatives working for the UAE used the spying tool Karma to hack the iPhones of activists, diplomats, and rival foreign leaders.

??",,"Qatar, Turkey, Yemen",United Arab Emirates,Civil Espionage,"Government, Civil society",https://www.reuters.com/article/us-usa-spying-karma-exclusive/exclusive-uae-used-cyber-super-weapon-to-spy-on-iphones-of-foes-idUSKCN1PO1AN,https://www.nbcnews.com/tech/security/how-uae-used-u-s-mercenaries-cyber-super-weapon-spy-n964436,,Unknown,
Targeting of U.S. university and think tank with BabyShark malware,2/22/2019,,"A threat actor used the malware BabyShark, which uses infrastructure associated with North Korean campaigns. The malware was delivered in November 2018 via spear-phishing emails written to appear as though they were sent from a nuclear security expert who works as a consultant for the U.S. government. The subject of the emails referenced North Korea's nuclear program.",,,Korea (Democratic People's Republic of),Infrastructure Espionage,Private sector,https://unit42.paloaltonetworks.com/new-babyshark-malware-targets-u-s-national-security-think-tanks/,,,Palo Alto Networks,
Bypassing of two-factor authentication,12/19/2019,APT 20,A China-aligned attacker bypassed virtual private network (VPN) accounts protected by two-factor authentication to attack governments and managed service providers in a multitude of industries.,,"Governments and managed service providers in the U.S., Brazil, China, France, Germany, Italy, Mexico, Portugal, Spain, and the United Kingdom",China,Espionage,"Government, Private sector",https://resources.fox-it.com/rs/170-CAK-271/images/201912_Report_Operation_Wocao.pdf,https://www.zdnet.com/article/chinese-hacker-group-caught-bypassing-2fa/,,Fox-IT,APT 20
Operation Soft Cell,6/25/2019,APT 10,"This threat actor hacked global telecommunications companies for personal data of government officials, activists, and dissidents of interest to Beijing.",,Global telecommunications companies,China,Civil Espionage,Private sector,https://www.cybereason.com/blog/operation-soft-cell-a-worldwide-campaign-against-telecommunications-providers,,,Cybereason Nocturnus,APT 10
Poison Carp,9/24/2019,Also known as Evil Eye,"This threat actor has targeted senior members of Tibetan groups by sending malicious links in WhatsApp messages, while posing as nongovernmental organization workers, journalists, or other fake personas.",,"Tibetans , Uighurs",China,Civil Espionage,"Civil society, Government",https://www.volexity.com/blog/2019/09/02/digital-crackdown-large-scale-surveillance-and-exploitation-of-uyghurs/,https://citizenlab.ca/2016/01/citizen-lab-palo-alto-networks-scarlet-mimic,,Volexity,Poison Carp
Targeting of Avast,10/21/2019,Government of China,"China-aligned hackers breached Czech-based Avast???s network, aiming to compromise the CCleaner tool, which had previously been compromised in 2017.",,Avast,China,Misc Espionage,Private sector,https://www.reuters.com/article/us-avast-cyber/avast-target-of-cyber-security-attack-company-and-czech-counterintelligence-say-idUSKBN1X01KS,https://www.zdnet.com/article/avast-says-hackers-breached-internal-network-through-compromised-vpn-profile/,,BIS,
Targeting of investigative journalists at Bellingcat,7/26/2019,Believed to be the work of Fancy Bear.,A threat actor conducted a phishing attack on investigative journalists at Bellingcat who have been probing Russian intelligence activities.,,,Russian Federation,Civil Espionage,Private sector,https://www.ft.com/content/876fb2d8-af92-11e9-8030-530adfa879c2,https://threatconnect.com/blog/building-out-protonmail-spoofed-infrastructure/,,ThreatConnect,APT 28
Compromise of Kazakh individuals,11/23/2019,Golden Falcon,The Russian-speaking threat actor Golden Falcon used a combination of purchased and developed tools to compromise numerous individuals in Kazakhstan and a few in China.,,Numerous Kazakh government officials and private individuals and some Chinese individuals,,Political Espionage,Government,https://www.zdnet.com/article/extensive-hacking-operation-discovered-in-kazakhstan/,http://blogs.360.cn/post/APT-C-34_Golden_Falcon.html,,N/A,
Targeting of U.S. and European think tanks,1/31/2019,Believed to be the work of Fancy Bear.,"Hackers??set up fake login pages or sent??spoof e-mails to people who work with the think tanks in an attempt to trick them into handing over information, such as passwords.",,"Center for Strategic and International Studies, German Council on Foreign Relations, The Aspen Institutes in Europe, The German Marshall Fund",Russian Federation,Espionage,Private sector,https://www.cnn.com/2019/01/30/politics/fancy-bear-microsoft-csis-think-tank/index.html,https://www.newsweek.com/russian-military-intelligence-hackers-dnc-washington-1313036,,Microsoft,APT 28
Autumn Aperture???use of malicious websites to target foreign ministries and other entities,8/22/2019,"Believed to be the work of Kimusky, also known as Thallium and Smoke Screen.","A threat actor targeted a number of foreign ministries, a Chinese technology company, Stanford University, think tanks in the United States and the United Kingdom, and other entities that have focused on North Korea's nuclear efforts or the related international sanctions. The threat actor created a network of malicious websites imitating the login portals of targets. This incident is believed to be an extension of the 2018 BabyShark campaign.",,"French Ministry for Europe and European Affairs, Ministry of Foreign and European Affairs of the Slovak Republic, Stanford University, Sina, Foreign ministry of the South African government",Korea (Democratic People's Republic of),,"Government, Private sector",https://www.cyberscoop.com/north-korean-hacking-espionage-phishing/,https://www.anomali.com/blog/suspected-north-korean-cyber-espionage-campaign-targets-multiple-foreign-ministries-and-think-tanks,,Anomali Threat Research,Thallium
Surveillance of individuals in the United Arab Emirates (UAE) and globally,12/22/2019,Government of the UAE,"ToTok, a popular Emirati messaging app, was revealed to be a mass surveillance tool used by the Emirati government.",,Millions of individuals in the UAE and globally,United Arab Emirates,Civil Espionage,Civil society,https://www.nytimes.com/2019/12/22/us/politics/totok-app-uae.html,https://www.theverge.com/2020/1/6/21051977/to-tok-app-google-play-store-uae-spying-privacy,,United States government,
Attack on Iranian computer systems,6/22/2019,U.S. Cyber Command,U.S. Cyber Command hacked Iranian rocket and missile launch systems in retaliation for the downing of a U.S. drone and attacks on oil tankers in the Strait of Hormuz. Iranian officials said the attack was not successful.,Denouncement   https://www.reuters.com/article/us-mideast-iran-usa-cyber-idUSKCN1TP0B1?utm_campaign=trueAnthem%3A%20Trending%20Content&amp;utm_content=5d10beeeb35fc8000145c351&amp;utm_medium=trueAnthem&amp;utm_source=twitter,Iranian rocket and missile launch systems,United States,Sabotage,Military,https://www.nytimes.com/2019/06/22/us/politics/us-iran-cyber-attacks.html,,,US government self attributed,
Targeting of Czech Foreign Ministry,8/31/2019,"Russian military intelligence agency, known as GRU",A threat actor launched a persistent campaign against the Foreign Ministry of the Czech Republic that lasted several months. This campaign follows previous attacks on the Czech Foreign Ministry in 2018 and 2017.,,Foreign Ministry of the Czech Republic,Russian Federation,Political Espionage,Government,https://www.reuters.com/article/us-czech-security-cyber/foreign-power-was-behind-cyber-attack-on-czech-ministry-senate-idUSKCN1V31DS?il=0,https://apnews.com/74c8dd79f7ba4ee2b695ae0b17ee6d58,,NUKIB,
Large-scale attacks against Georgia,10/28/2019,Sandworm,Russian group Sandworm carried out large-scale cyberattacks against targets in Georgia.,,"Georgian government, courts, nongovernmental organizations, media, and businesses",Russian Federation,Sabotage,"Government, Private sector, Civil society",https://www.nytimes.com/2020/02/20/world/europe/georgia-cyberattack-russia.html,https://www.gov.uk/government/news/uk-condemns-russias-gru-over-georgia-cyber-attacks,https://www.gov.pl/web/diplomacy/statement-of-the-polish-mfa-on-cyberattacks-against-georgia,"NCSC, Georgian government, United States government, MFA, CSE",Sandworm
Targeting of U.S. utility companies,8/1/2019,Unnamed state-sponsored APT,"Between July 19 and July 25, 2019, a threat actor sent several spear-phishing emails to three U.S. companies in the utility sector. The emails were sent from a domain impersonating that of the National Council of Examiners for Engineering and Surveying, an authority in the industry. The emails contained Microsoft Word attachments that used macros to install and run a new remote-access Trojan (RAT) called LookBack.",,United States,Unknown,Infrastructure Espionage,Private sector,https://www.proofpoint.com/us/threat-insight/post/lookback-malware-targets-united-states-utilities-sector-phishing-attacks,https://threatpost.com/nation-state-apts-target-u-s-utilities-with-dangerous-malware/146910/,,N/A,
Golden Falcon,11/23/2019,"Also known as DustSquad, Russian-speaking but may be Kazakh.","Threat actor that has targeted Kazakh government officials and private individuals, along with some Chinese individuals.",,,Unknown,Espionage,,https://www.zdnet.com/article/extensive-hacking-operation-discovered-in-kazakhstan/,http://blogs.360.cn/post/APT-C-34_Golden_Falcon.html,,N/A,
Targeting of Visma,2/6/2019,Believed to be the work of APT 10.,"Hackers used malware from the dark web to target a Norwegian internet service provider. The goal of the attack was to gain access to customers??? intellectual property, strategic plans, and emails.",,Visma,China,Espionage,Private sector,https://www.recordedfuture.com/apt10-cyberespionage-campaign/,https://www.reuters.com/article/us-china-cyber-norway-visma/china-hacked-norways-visma-to-steal-client-secrets-investigators-idUSKCN1PV141,https://www.nytimes.com/2019/02/18/technology/hackers-chinese-iran-usa.html,"Rapid7, Recorded Future",APT 10
Autumn Aperture???malware embedded in antiquated file types,9/11/2019,"Believed to be the work of Kimusky, also known as Thallium and Smoke Screen.","A threat actor targeted U.S.-based entities by emailing them malware-laced Microsoft Word documents written by industry experts. The trojanized documents discussed nuclear deterrence, North Korea's nuclear submarine program, and economic sanctions on the North Korean regime. This incident is believed to be an extension of the August Autumn Aperture campaign.",,Unnamed U.S.-based entities,Korea (Democratic People's Republic of),Espionage,Private sector,https://blog.prevailion.com/2019/09/autumn-aperture-report.html,https://www.cyberscoop.com/north-korea-hackers-kimsuky-microsoft-word-prevailion/,,Prevailion,Thallium
Targeting of industrial control systems,11/23/2019,APT 33,"Iran-aligned threat actor APT 33 targeted industrial control system manufacturers, suppliers, and maintainers.",,"Industrial control systems manufacturers, suppliers, and maintainers",Iran (Islamic Republic of),Infrastructure Espionage,Private sector,https://arstechnica.com/information-technology/2019/11/a-notorious-iranian-hacking-crew-is-targeting-industrial-control-systems/,https://www.cyberscoop.com/apt33-microsoft-iran-ics/,,Microsoft,ATP 33
Compromise of Yandex,6/27/2019,Five Eyes,"This threat actor deployed Regin, a rare type of malware, in an attempt to spy on user accounts for Yandex, a Russian search engine and email provider.",Confirmation   https://www.reuters.com/article/us-usa-cyber-yandex-exclusive/exclusive-western-intelligence-hacked-russias-google-yandex-to-spy-on-accounts-sources-idUSKCN1TS2SX,Yandex,"United States, Australia, Canada, New Zealand, United Kingdom",Espionage,Private sector,https://www.reuters.com/article/us-usa-cyber-yandex-exclusive/exclusive-western-intelligence-hacked-russias-google-yandex-to-spy-on-accounts-sources-idUSKCN1TS2SX,,,Kaspersky,
Targeting of telecommunications operators in countries through which Uighurs are known to travel,9/5/2019,Believed to be the work of Chinese state-sponsored hackers.,"Multiple threat actors compromised telecoms networks across Central and Southeast Asia. The attacks were part of a wider cyber-espionage campaign targeting diplomats and state officials, and they signal China's ability and intent to track the movements of Uighurs along a number of transit routes that they use to escape state persecution.",,,China,Civil Espionage,Civil society,https://www.reuters.com/article/us-china-cyber-uighurs/china-hacked-asian-telcos-to-spy-on-uighur-travelers-sources-idUSKCN1VQ1A5,https://telecom.economictimes.indiatimes.com/news/china-hacked-indian-other-asian-telcos-to-spy-on-uighurs/71019842,,"Volexity, Google, FireEye, Cybereason Nocturnus",
Targeting of Japanese organizations,10/2/2019,APT 17 and Bronze Butler,Two Chinese government threat actors used a number of zero-day vulnerabilities in common Japanese software to target Japanese organizations over the course of several years.,,Japanese organizations,China,Commercial Espionage,Private sector,https://threatpost.com/virus-bulletin-japanese-attacks-apt-strategygy/148859/,,,JPCERT,APT17 
Targeting of Internet of Things (IoT) devices used by Microsoft customers,8/5/2019,"Believed to be the work of Strontium, also known as APT 28 and Fancy Bear.","The threat actor exploited office devices??? weak, outdated security to access the networks of several Microsoft customers and infiltrate accounts with more privileges.",,,Russian Federation,,Private sector,https://www.forbes.com/sites/zakdoffman/2019/08/05/microsoft-warns-russian-hackers-can-breach-companies-through-millions-of-simple-iot-devices/#51543552617f,https://www.cyberscoop.com/russian-apt-iot-device-security/,,Microsoft,APT28
Targeting of Ukrainian government entities,11/25/2019,Gamaredon,"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",,,Unknown,Political Espionage,,,,,Unknown,Gamaredon
U.S. Cyber Command offensive attack of Russian troll farm,2/27/2019,U.S. Cyber Command,"In November 2018, the U.S. Cyber Command launched an offensive campaign to combat a Russian troll operation known for using disinformation tactics.",,Russia,United States,Denial of service,Government,https://www.washingtonpost.com/world/national-security/us-cyber-command-operation-disrupted-internet-access-of-russian-troll-factory-on-day-of-2018-midterms/2019/02/26/1827fc9e-36d6-11e9-af5b-b51b7ff322e9_story.html?utm_term=.9be95dc8f486,https://www.nytimes.com/2018/10/23/us/politics/russian-hacking-usa-cyber-command.html,,US government self admitted,
Targeting of Middle Eastern oil companies,12/4/2019,APT 34,"Using a new wiper malware called ZeroCleare, Iranian-linked threat actor APT 34 (aka Oilrig) targeted oil companies in the Middle East.",,Oil companies in the Middle East,Iran (Islamic Republic of),Data destruction,Private sector,https://www.ibm.com/downloads/cas/OAJ4VZNJ,,,IBM,APT 34
Attacks on private U.S. companies,6/22/2019,Iran,This threat actor increased malicious activity targeting U.S. companies following a U.S. attack on Iranian computer systems.,Confirmation   https://www.dhs.gov/cisa/news/2019/06/22/cisa-statement-iranian-cybersecurity-threats,U.S. private sector,Iran (Islamic Republic of),Data destruction,Private sector,https://www.bloomberg.com/news/articles/2019-06-22/iran-increases-cyberattacks-on-the-u-s-amid-tensions-dhs-says,,,DHS,
Targeting of the Cambodian government,12/7/2019,Rancor,The China-linked threat actor group Rancor targeted unnamed Cambodian government entities.,,Cambodian government,China,Political Espionage,Government,https://www.cyberscoop.com/rancor-group-cambodia-palo-alto-networks/,https://unit42.paloaltonetworks.com/rancor-cyber-espionage-group-uses-new-custom-malware-to-attack-southeast-asia/,,Palo Alto Networks,Rancor
PKplug,10/3/2019,China,A Chinese-linked threat actor group active in Southeast Asia,,,China,Espionage,,https://unit42.paloaltonetworks.com/pkplug_chinese_cyber_espionage_group_attacking_asia/,,,Palo Alto Networks,
APT 41,8/7/2019,,"This threat actor has, since 2014, conducted operations backed by the Chinese government, including targeting the health-care and high-tech sectors and conducting espionage against political dissidents. It has simultaneously conducted its own for-profit illicit activity in the video games industry, amassing millions of dollars in digital currency to be sold to gamers on the black market. The threat actor operates outside of state control but is linked to other Chinese APT malware actors and tools on a part-time or contractual basis, or is a full-time, state-sponsored APT actor that simultaneously conducts nonstate campaigns for supplemental income. This threat actor is a notable example of the blurring lines between state-sponsored and commercial cyber criminals.",,"United States, France, Japan, Singapore, United Kingdom, Hong Kong",China,Espionage,"Government, Private sector",https://content.fireeye.com/apt-41/rpt-apt41/,https://www.ft.com/content/965ceffc-b8ea-11e9-8a88-aa6628ac896c,,FireEye,
Targeting of Ukrainian government entities,11/25/2019,Gamaredon,"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",,,Unknown,Political Espionage,,,,,Unknown,Gamaredon
Targeting of foreign ministries,2/28/2018,Believed to be the work of APT 28,A threat actor targeted a foreign ministry in Europe and in North America using spear-phishing techniques for the purpose of espionage.,,,Russian Federation,Political Espionage,Government,https://researchcenter.paloaltonetworks.com/2018/02/unit42-sofacy-attacks-multiple-government-entities/,,,Palo Alto Networks,APT 28
Operation Parliament,4/12/2018,,"This threat actor uses spear-phishing techniques to target parliaments, government ministries, academics, and media organizations, primarily in the Middle East, for the purpose of espionage.",,"Palestine, Egypt, Jordan, United Arab Emirates, Saudi Arabia, Djibouti, Qatar, Chile, Lebonon, Somalia, Iraq, Morocco, Syria, India, Iran, Canada, United States, United Kingdom, Germany, Israel, Afghanistan, Serbia, Russia, Oman, Kuwait, South Korea, Denmark",,Political Espionage,"Government, Civil society",https://securelist.com/operation-parliament-who-is-doing-what/85237/,,,Kaspersky,
Compromise of American aerospace companies,10/30/2018,China's Jiangsu Ministry of State Security,"This threat actor reportedly intruded into American aerospace companies' computer systems to steal intellectual property and business information, including information related to turbofan engines used in commercial aircraft.",Criminal charges   https://www.justice.gov/opa/pr/chinese-intelligence-officers-and-their-recruited-hackers-and-insiders-conspired-steal,"Aerospace companies based in Arizona, Massachusetts, and Oregon",China,Commercial Espionage,Private sector,https://www.justice.gov/opa/pr/chinese-intelligence-officers-and-their-recruited-hackers-and-insiders-conspired-steal,,,McAfee,
Operation GhostSecret,4/24/2018,Believed to be the work of the Lazarus Group,"A threat actor targets critical infrastructure and organizations in the entertainment, finance, health-care, education, and telecommunications sectors.",,"United States, United Kingdom, India, Thailand, Guatemala, Germany, France, Canada, Brazil, China, Bangladesh, Thailand, Hong Kong, Japan, Australia,",Korea (Democratic People's Republic of),Espionage,Private sector,https://securingtomorrow.mcafee.com/mcafee-labs/analyzing-operation-ghostsecret-attack-seeks-to-steal-data-worldwide/,,,DoJ,Lazarus Group
Compromise of the German Foreign Office,3/16/2018,Believed to be the work of Turla,"A threat actor has compromised the German Foreign Office, for the purpose of espionage.",,Germany,Russian Federation,Political Espionage,Government,https://www.sueddeutsche.de/digital/exklusiv-so-schleusten-die-hacker-daten-aus-dem-auswaertigen-amt-1.3894534,https://www.welivesecurity.com/2018/08/22/turla-unique-outlook-backdoor/,,ESET,Turla
Targeting of U.S. Navy contractors,12/14/2018,Believed to be the work of APT 10.,"In a series of incidents, Chinese hackers breached U.S. Navy contractors??? systems to steal information including ship maintenance data and missile plans.",,United States,China,Military Espionage,Government,https://www.wsj.com/articles/u-s-navy-is-struggling-to-fend-off-chinese-hackers-officials-say-11544783401,https://www.zdnet.com/article/us-charges-two-chinese-nationals-for-hacking-cloud-providers-nasa-the-us-navy/,https://www.justice.gov/opa/pr/two-chinese-hackers-associated-ministry-state-security-charged-global-computer-intrusion,DoJ,APT 10
Targeting of Japanese companies,4/22/2018,Believed to be the work of APT 10,This threat actor targets Japanese media and defense companies for espionage purposes.,,Japan,China,Espionage,Private sector,https://www.bloomberg.com/news/articles/2018-04-22/china-cyberspies-targeted-japanese-firms-for-north-korea-secrets,https://www.fireeye.com/blog/threat-research/2018/09/apt10-targeting-japanese-corporations-using-updated-ttps.html,,FireEye,APT 10
APT 35,1/1/2018,Also known as Phosphoros and Newscaster Team,"This threat actor, whose activities date back to 2014, conducts long-term operations to collect strategic intelligence. They target U.S. and Middle Eastern defense, diplomatic, and government personnel, as well as private industries, including media, energy, business services, and telecommunications.",,United States,Iran (Islamic Republic of),Espionage,"Government, Private sector",https://www.fireeye.com/content/dam/collateral/en/mtrends-2018.pdf,,,FireEye,APT 35
Targeting of a European defense agency,3/15/2018,Believed to be the work of APT 28,"A threat actor targeted a European defense agency with a spear-phishing email, which only deploys a payload if the victim opens an email attachment and scrolls to page 3.",,,Russian Federation,Military Espionage,Government,https://researchcenter.paloaltonetworks.com/2018/03/unit42-sofacy-uses-dealerschoice-target-european-government-agency/,,,Palo Alto Networks,APT 28
Inception Framework,3/14/2018,Also known as Cloud Atlas and Red October.,"This threat actor uses spear-phishing techniques to target embassies and private-sector energy, defense, aerospace, research, international economics, and media organizations in Africa, Europe, and the Middle East, for the purpose of espionage. It was first identified in 2014 and has been active since.",,"South Africa, Kenya, United Kingdom, Malaysia, Suriname, Turkey, Turkmenistan, Ukraine, Romania, Portugal, Afghanistan",Unknown,Espionage,"Government, Private sector",https://www.symantec.com/blogs/threat-intelligence/inception-framework-hiding-behind-proxies,,,N/A,
Chrysene,5/17/2018,"Believed to be linked to the compromise of Saudi Aramco, malware Shamoon 2.0, and the OilRig threat actor","This threat actor targets organizations involved in oil, gas, and electricity production, primarily in the Gulf region, for espionage purposes. According to one cybersecurity company, the threat actor ???compromises a target machine and passes it off to another threat actor for further exploitation.???",,"Iraq, Pakistan, Israel, United Kingdom",Unknown,Infrastructure Espionage,Private sector,https://dragos.com/blog/20180517Chrysene.html,,,Dragos,APT 34
Global bank attacks,10/3/2018,Suspected to be the work of the Lazarus Group.,A North Korean group is believed to have stolen hundreds of millions of dollars by infiltrating the computer systems of banks around the world since 2014.,,"United States, Mexico, Chile, Brazil, Uruguay, Poland, Turkey, Bangladesh, Malaysia, Vietnam, Russia, Phillipines, Taiwan",Korea (Democratic People's Republic of),Financial Theft,Private sector,https://www.forbes.com/sites/leemathews/2019/03/11/north-korean-hackers-have-raked-in-670-million-via-cyberattacks/#4b11848c7018,https://www.nbcnews.com/tech/security/north-korean-malware-dubbed-hidden-cobra-swindled-millions-atms-n916216,https://content.fireeye.com/apt/rpt-apt38,"FireEye, CrowdStrike, DHS",Lazarus Group
Compromise of Managed Service Providers and technology companies,12/20/2018,China's Tianjin State Security Bureau,"The threat actor compromised eight technology service providers, including Hewlett Packard Enterprise and IBM (their cloud services in particular were targeted), to steal commercial secrets from over forty-five client technology companies. The victims include Swedish telecom giant Ericsson, U.S. Navy shipbuilder Huntington Ingalls Industries, and travel reservation system Sabre.",Criminal charges   https://www.justice.gov/opa/pr/two-chinese-hackers-associated-ministry-state-security-charged-global-computer-intrusion,"Networks and clients of Hewlett Packard Enterprise, IBM, Fujitsu, Tata Consultancy Services, NTT Data, Dimension Data, Computer Sciences Corporation, and DXC Technology",China,Commercial Espionage,Private sector,https://www.justice.gov/opa/pr/two-chinese-hackers-associated-ministry-state-security-charged-global-computer-intrusion,https://cse-cst.gc.ca/en/media/media-2018-12-20,https://www.arnnet.com.au/article/617425/aussie-msps-targeted-global-cyber-espionage-campaign/,"DoJ, CSE, NCSC, ACSC, GCSB",
APT 17,5/3/2018,"Believed to be associated with the Axiom, APT 17, and Mirage threat actors. Believed to share the same tools and infrastructure as the threat actors that carried out Operation Aurora, the 2015 targeting of video game companies, the 2015 targeting of the Thai government, and the 2017 targeting of Chinese-language news websites","This threat actor targets software companies and political organizations in the United States, China, Japan, and South Korea. It primarily acts to support cyber operations conducted by other threat actors affiliated with Chinese intelligence services.",,"United States, United Kingdom, Japan, South Korea, China, Hong Kong, Universities in Hong Kong",China,Espionage,Private sector,https://401trg.com/burning-umbrella/,https://arstechnica.com/information-technology/2018/05/researchers-link-a-decade-of-potent-hacks-to-chinese-intelligence-group/,,401TRG,APT 17
Targeting of AMC Theatres,9/6/2018,Believed to be the work of Lazarus Group,"A threat actor targeted U.S. movie theater chain AMC Theatres in 2014 using spear-phishing techniques. The U.S. Department of Justice alleges that the incident was related to the chain's screenings of The Interview, a movie depicting the assassination of North Korean leader Kim Jong-un.",Criminal charges   https://www.justice.gov/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and,AMC Theatres,Korea (Democratic People's Republic of),Misc Espionage,Private sector,https://www.justice.gov/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and,,,DoJ,Lazarus Group
Compromise of the EU's diplomatic communication network,12/18/2018,Suspected to be the work of Chinese military hackers.,"Hackers have infiltrated the EU???s diplomatic communication network for years, using phishing attacks to steal sensitive documents related to trade negotiations and meetings with foreign leaders.",,"European Union, United Nations, American Federation of Labor and Congress of Industrial Organizations",China,Political Espionage,Government,https://www.nytimes.com/2018/12/18/us/politics/european-diplomats-cables-hacked.html,https://www.cnn.com/2018/12/19/politics/european-union-hack-intl/index.html,,Area1,
Targeting of international sports federations,1/12/2018,Believed to be the work of APT 28,A threat actor targeted international sports organizations in Western Europe in the run-up to the International Olympic Committee???s banning Russian athletes from participating in the 2018 Winter Olympics in South Korea.,,"European Ice Hockey Federation, International Ski Federation, International Biathlon Union, International Bobsleigh and Skeleton Federation, International Luge Federation",Russian Federation,Misc Espionage,Civil society,https://blog.trendmicro.com/trendlabs-security-intelligence/update-pawn-storm-new-targets-politically-motivated-campaigns/,,,TrendMicro,APT 28
Compromise of a U.S. Navy contractor,6/8/2018,,"A threat actor compromises the networks of a contractor for the U.S. Navy, exfiltrating 614 gigabytes of sensitive information, including data related to a new U.S. anti-ship missile and submarine communications systems.",,United States,China,Military Espionage,Private sector,https://www.washingtonpost.com/world/national-security/china-hacked-a-navy-contractor-and-secured-a-trove-of-highly-sensitive-data-on-submarine-warfare/2018/06/08/6cc396fa-68e6-11e8-bea7-c8eb28bc52b1_story.html?utm_term=.112cfe0a147a,https://www.nytimes.com/2018/06/08/us/politics/china-hack-navy-contractor-.html,http://www.newportri.com/news/20180608/nuwc-contractor-hacked-by-china-sensitive-information-on-submarines-stolen,United States government,
Targeting of the Organization for the Prohibition of Chemical Weapons,10/4/2018,Believed to be the work of APT 28,"A threat actor, believed to be Russian military intelligence, targeted the office of the Organization for the Prohibition of Chemical Weapons in The Hague with a view of compromising its Wi-Fi network for espionage purposes. Dutch authorities were able to foil the operation, and in a joint press conference with UK officials publicly identified four suspected Russian intelligence officers involved. The United States, Australia, Canada, and New Zealand issued statements denouncing Russia's cyber operations.",Denouncement   https://english.defensie.nl/latest/news/2018/10/04/netherlands-defence-intelligence-and-security-service-disrupts-russian-cyber-operation-targeting-opcw,Organization for the Prohibition of Chemical Weapons,Russian Federation,Political Espionage,Government,https://english.defensie.nl/latest/news/2018/10/04/netherlands-defence-intelligence-and-security-service-disrupts-russian-cyber-operation-targeting-opcw,https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,,"DISS, DoJ, NCSC",ATP 28
Targeting of global financial organizations and bitcoin users,2/12/2018,Believed to be the work of the Lazarus Group,"A threat actor targeted financial organizations and bitcoin users, for the purpose of identifying individuals with bitcoin wallets.",,,Korea (Democratic People's Republic of),Commercial Espionage,Private sector,https://securingtomorrow.mcafee.com/mcafee-labs/lazarus-resurfaces-targets-global-banks-bitcoin-users/,,,McAfee,Lazarus Group
Compromise of Cambodian election organizations,7/10/2018,Believed to be the work of Leviathan,"A threat actor compromises opposition parties, as well as organizations charged with overseeing the 2018 Cambodian elections, for espionage purposes.",,Cambodia,China,Political Espionage,"Government, Private sector",https://www.fireeye.com/blog/threat-research/2018/07/chinese-espionage-group-targets-cambodia-ahead-of-elections.html,https://www.rfa.org/english/news/cambodia/hacked-07192018173610.html,https://www.apnews.com/0b52e20517a74b678cf5eae5d0e177ab,FireEye,APT 40
Covellite,5/31/2018,Believed to use similar tools as the Lazarus Group,"This threat actor compromises the networks of companies involved in electric power, specifically looking for intellectual property and information about the companies??? operations.",,United States,Unknown,Commercial Espionage,Private sector,https://dragos.com/blog/20180531Covellite.html,,,Dragos,Lazarus Group
Targeting of Austal,11/2/2018,Unknown,"Austal, a major Australian defense contractor and shipbuilder, was targeted in a data breach. Hackers gained access to ship designs and personnel contact information.",,Austal Ltd,Unknown,Military Espionage,Private sector,https://www.reuters.com/article/us-australia-iran-cybercrime/australias-cyber-security-chief-says-austal-defense-hack-investigation-may-take-years-idUSKCN1NI03X,https://www.abc.net.au/news/2018-11-02/austal-ship-cyber-attack-and-extortion-attempt-national-security/10458982,https://www.asx.com.au/asxpdf/20181101/pdf/43zydw0t7l5lz8.pdf,N/A,
Targeting of Mammoth Screen,9/6/2018,Believed to be the work of Lazarus Group,"A threat actor targeted Mammoth Screen, a UK production company that produced Opposite Number, a television drama set in North Korea.",,Mammoth Screen,Korea (Democratic People's Republic of),Misc Espionage,Private sector,https://www.justice.gov/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and,,,DoJ,Lazarus Group
Attack on Italian oil firm Saipem,12/20/2018,Possibly linked to an Iran-based group that uses the Shamoon virus to target oil and gas entities with a connection to Saudi Arabia.,"An attack on the Italian oil firm Saipem targeted servers based in India, Kuwait, Saudi Arabia, Scotland, and the United Arab Emirates. Hackers used a variant of the Shamoon virus.",,Saipem,Iran (Islamic Republic of),Infrastructure Espionage,Private sector,https://www.reuters.com/article/us-italy-cyber-saipem/saipem-servers-suffer-cyber-attack-in-middle-east-idUSKBN1O92B1,https://www.bloomberg.com/news/articles/2018-12-10/middle-east-servers-targeted-in-cyberattack-against-saipem,http://www.saipem.com/sites/SAIPEM_en_IT/con-side-dx/Press%20releases/2018/Cyber%20attack%20update.page,Unknown,APT 33
